Station Name,City,State,ZIP,Latitude,Longitude
Grand Superior Lodge - Tesla Destination,Two Harbors,MN,55616,47.120092,-91.503289
Larsmont Cottages - Tesla Destination,Two Harbors,MN,55616,46.971706,-91.753125
La Quinta Inn & Suites Woodbury - Tesla Destination,Woodbury,MN,55125,44.93878,-92.955088
VIRGINIA PU VETS MEMORIAL 2,Virginia,MN,55792,47.524884,-92.535819
HENNEPIN COUNTY CENTRAL LIBRARY,Minneapolis,MN,55401,44.980257,-93.270034
7700 RAMP 7700 FRANCE AVE,Edina,MN,55435,44.8626,-93.331969
Paul Bunyan Park,Bemidji,MN,56601,47.471643,-94.878889
Minnesota Department of Natural Resources,St. Paul,MN,55106,44.94386246667867,-93.05007910583498
Eden Prairie City Center,Eden Prairie,MN,55344,44.856491,-93.46274
Minnesota Department of Natural Resources - Fleet Parking,St. Paul,MN,55155,44.955829,-93.082473
CR 2020 141-EVCHG-1,Minneapolis,MN,55414,44.971602,-93.226369
Kum & Go - Tesla Supercharger,Sherburn,MN,56171,43.661514,-94.732824
The Clearwater Travel Plaza - Tesla Supercharger,Clearwater,MN,55320,45.411899,-94.054852
RISE by Elevation - Tesla Destination,Minneapolis,MN,55430,45.074457,-93.309125
UMN 170-EVCHG-2,Minneapolis,MN,55414,44.979288,-93.232046
CITY OF ST PAUL RIVER CENTRE 4,Saint Paul,MN,55102,44.943179,-93.10036
CSG EV BURNSVILLE 3697,Burnsville,MN,55337,44.77419,-93.279146
PRB HIGH SCHOOL PINERIVERBACKUS,Pine River,MN,56474,46.727532,-94.408763
CSG EV CSG EV 5930,Burnsville,MN,55337,44.774749,-93.277263
CSG EV BURNSVILLE 3686,Burnsville,MN,55337,44.774388,-93.279211
PLHSCHARGING PEQUOT LAKES HS,Pequot Lakes,MN,56472,46.600418,-94.315765
Lunds & Byerlys,St. Paul,MN,55101,44.951181,-93.095392
CITY OF NFLD STATION 1,Northfield,MN,55057,44.45552,-93.161865
DAKOTA COUNTY HERITAGE,Lakeville,MN,55044,44.657741,-93.24496
3M 229 NORTHLOT #5,Maplewood,MN,55119,44.952639,-92.997122
3M 229 NORTHLOT #2,Maplewood,MN,55119,44.95283,-92.997113
3M 229 NORTHLOT #1,Maplewood,MN,55119,44.952891,-92.997102
CITY OF ST PAUL SUN RAY #2,Saint Paul,MN,55119,44.953941,-93.010868
CITY OF ST PAUL SUN RAY #1,Saint Paul,MN,55119,44.953971,-93.011393
DAKOTA COUNTY PLEASANT HILL,Hastings,MN,55033,44.737556,-92.884895
CONFLUENCE EV STATION 1,Hastings,MN,55033,44.744042,-92.853707
UMN DULUTH DARLAND,Duluth,MN,55812,46.816209,-92.083907
MOOSE LAKE LEVEL 3,Moose Lake,MN,55767,46.452592,-92.763636
BLOOMINGTON CIVIC PLAZA,Bloomington,MN,55431,44.825958,-93.303514
LUNDS FOODS EV1,Minneapolis,MN,55403,44.97418,-93.280732
"Walmart 2643 - Woodbury, MN",Woodbury,MN,55129,44.94571,-92.89834
HY VEE MAPLE GROVE A,Maple Grove,MN,55311,45.082744,-93.517362
SVE LIGHTNING PIPESTONE,Pipestone,MN,56164,43.993828,-96.30192
CUB FOODS MINNEHAHA,Minneapolis,MN,55406,44.918395,-93.215457
MOTLEY DC FAST CHARGER,Motley,MN,56466,46.341207,-94.648787
MINNEAPOLIS RAMP A L3-2,Minneapolis,MN,55402,44.97829,-93.277907
HY VEE COTTAGE GROVE W,Cottage Grove,MN,55016,44.83101,-92.958577
HY VEE LAKEVILLE NORTH,Lakeville,MN,55044,44.715506,-93.174153
HY VEE NEW HOPE WEST,Minneapolis,MN,55428,45.034374,-93.384068
Continental Ski and Bike,Duluth,MN,55805,46.800402,-92.083178
PUBLIC STATIONS MINNEHAHA PARK,Minneapolis,MN,55417,44.91621,-93.205405
JLRMINNEAPOLIS SHOP03,Golden Valley,MN,55426,44.972664,-93.39476
MINNEAPOLIS RAMP C L3-4,Minneapolis,MN,55401,44.982857,-93.273962
MINNEAPOLIS LEAMNGTN L2-1,Minneapolis,MN,55403,44.972115,-93.27181
MINNEAPOLIS LEAMNGTN L2-4,Minneapolis,MN,55403,44.971965,-93.272071
MINNEAPOLIS RAMP A L4-1,Minneapolis,MN,55402,44.978259,-93.277873
MINNEAPOLIS RAMP B L3-4,Minneapolis,MN,55403,44.980891,-93.276124
Trails Travel Center - Tesla Supercharger,Albert Lea,MN,56007,43.657558,-93.318197
Hy-Vee - Tesla Supercharger,Robbinsdale,MN,55422,45.019569,-93.325799
HealthPartners Neuroscience Specialty Center,St. Paul,MN,55130,44.96192,-93.087048
Fairfield Inn & Suites Minneapolis Mall of America - Tesla Destination,Bloomington,MN,55425,44.858066,-93.236759
Staybridge Suites Mpls-Maple Grove/Arbor Lakes - Tesla Destination,Maple Grove,MN,55369,45.09574,-93.44813
Hilton Garden Inn Minneapolis Saint Paul-Shoreview - Tesla Destination,Shoreview,MN,55126,45.060673,-93.144437
Homewood Suites St. Louis Park - Tesla Destination,St Louis Park,MN,55416,44.969261,-93.347065
CITY OF ST PAUL COMO PV1,Saint Paul,MN,55117,44.981639,-93.143751
CITY OF ST PAUL SMITH RAMP 1,Saint Paul,MN,55102,44.946117,-93.10391
CITY OF ST PAUL SMITH RAMP 2,Saint Paul,MN,55102,44.946138,-93.103841
ST LOUIS PARK REC CENTER,St. Louis Park,MN,55416,44.937263,-93.341545
Willie’s SuperValu,Morris,MN,56267,45.588471,-95.915194
So Roc on Maine,Rochester,MN,55904,43.9502936,-92.4600338
"Alexandria, MN - Tesla Supercharger",Alexandria,MN,56308,45.850438,-95.38895
CROW WING POWER PARKING LOT,Brainerd,MN,56401,46.403167,-94.28097
MN2111 LEVEL 3- A,Minneapolis,MN,55415,44.975139,-93.265708
HENNEPIN COUNTY EP LIBRARY,Eden Prairie,MN,55344,44.850627,-93.42756
Simonson Station Store Alexandria,Alexandria,MN,56308,45.84549,-95.38926
Target - Tesla Supercharger,Saint Louis Park,MN,55416,44.936292,-93.348112
North Parking Lot Behind Building,Clara City,MN,56222,44.955627,-95.3680127
SHOREVIEW SHOREVIEW #2,Shoreview,MN,55126,45.080723,-93.132427
Element Fleet Management,Hopkins,MN,55343,44.926916,-93.39816
MACALESTER MAC FAC NORTH,Saint Paul,MN,55105,44.93839,-93.16988
CITY OF NFLD STATION 2,Northfield,MN,55057,44.455242,-93.15916
Minnesota Motor Co,Fergus Falls,MN,56537,46.272278,-96.057642
Mankato Area Foundation,Mankato,MN,56001,44.166241,-94.001677
House Chevrolet,Stewartville,MN,55976,43.851496,-92.487842
Beltrami Electric Coop,Bemidji,MN,56601,47.507079,-94.909183
City of North Mankato,North Mankato,MN,56003,44.17888,-94.03763
Pine City DCFC,Pine City,MN,55063,45.82084,-92.96937
Grand Portage Casino,Hovland,MN,55606,47.953845,-89.69266
By the Yard inc.,Jordan,MN,55352,44.713137,-93.588071
MN2111 LEVEL 2-B,Minneapolis,MN,55415,44.974943,-93.264998
BIRTH CENTER BIRTH CENTER 1,Saint Paul,MN,55101,44.955891,-93.093363
NORTHFIELD HOSP STATION #1,Northfield,MN,55057,44.474187,-93.192312
CITY OF EDINA CITY HALL 1,Edina,MN,55424,44.911248,-93.347814
CITY OF EDINA NORTH RAMP L2,Edina,MN,55424,44.913617,-93.331163
MN2111 LEVEL 2-A,Minneapolis,MN,55415,44.975012,-93.265344
TARGET T0260 STATION 1,St. Louis Park,MN,55416,44.936378,-93.347996
TARGET T0821 STATION 1,Alexandria,MN,56308,45.849634,-95.389654
Target - Tesla Supercharger,Minnetonka,MN,55305,44.970509,-93.446701
Cityview Flats,Duluth,MN,55806,46.788168,-92.10369
LivInn Hotels - 13080 Aldrich Ave South,Burnsville,MN,55337,44.766836,-93.290315
LivINN Hotels - 5201 Central Avenue NE,Fridley,MN,55421,45.063436,-93.245255
LivInn Hotels - 285 Century Ave N.,Maplewood,MN,55119,44.95098,-92.985194
Westwood Hills Nature Center,St. Louis Park,MN,55426,44.96726,-93.38869
UMN DULUTH PAY LOT G,Duluth,MN,55811,46.820736,-92.082186
UMN DULUTH KIRBY DRIVE S,Duluth,MN,55812,46.816378,-92.087503
DAKOTA COUNTY EMPIRE FACILITY,Rosemount,MN,55068,44.716061,-93.124304
NESIDECITYHALL STATION #1,Apple Valley,MN,55124,44.735012,-93.20862
Olmsted Medical Center - Hospital & 24-Hour ED,Rochester,MN,55904,44.019789,-92.441053
Goodwill - Rochester,Rochester,MN,55901,44.044087,-92.515787
Dahl Chevrolet Buick GMC,Winona,MN,55987,44.044181,-91.670204
Bluff Country Co-op,Winona,MN,55987,44.053621,-91.638368
MCPA AIRPORT VIEW 1,Rochester,MN,55902,43.915247,-92.48202
Target - Tesla Supercharger,Minneapolis,MN,55413,45.004478,-93.228702
TARGET T1095 STATION 2,Minneapolis,MN,55413,45.004242,-93.228511
TARGET T0100 STATION 1,Minnetonka,MN,55305,44.970514,-93.447014
BN PARK STATION 1,Wadena,MN,56482,46.441806,-95.137942
HENNEPIN COUNTY TARGETFIELDSTN1,Minneapolis,MN,55401,44.983616,-93.278599
HUTCH UTILITIES DC FAST 1,Hutchinson,MN,55350,44.89464,-94.36979
UNIV ST THOMAS TOMMIE 4,Saint Paul,MN,55104,44.945845,-93.188108
UNIV ST THOMAS TOMMIE 1,Saint Paul,MN,55104,44.943752,-93.18832
Colwell Partners,Minneapolis,MN,55405,44.97978,-93.292295
ST LOUIS PARK WHNC INTER CTR2,St. Louis Park,MN,55426,44.96518,-93.38711
Eagle Ridge Resort at Lutsen Mountains - Tesla Destination,Lutsen,MN,55612,47.659204,-90.712249
Fairfield Inn & Suites by Marriott Eden Prairie - Tesla Destination,Eden Prairie,MN,55344,44.862473,-93.419917
Perbix (Tesla) - Tesla Destination,Brooklyn Park,MN,55445,45.127868,-93.382541
Renaissance Minneapolis Hotel - Tesla Destination,Minneapolis,MN,55401,44.980358,-93.263366
Rental Property-Inver Grove Hts - Tesla Destination,Inver Grove Hts,MN,55077,44.873846,-93.073817
SW Transit - Tesla Destination,Eden Prairie,MN,55344,44.860004,-93.443051
Timberlake Lodge Hotel & 17th Street Grill - Tesla Destination,Grand Rapids,MN,55744,47.213323,-93.52725
Children's Museum of Southern Minnesota,Mankato,MN,56001,44.16196,-94.013086
MYSTIC LAKE CNT NORTH LOT 3,Prior Lake,MN,55372,44.733741,-93.475562
Coborns - Mora Municipal Utilities,Mora,MN,55051,45.86844,-93.29087
City Of Detroit Lakes,Detroit Lakes,MN,56501,46.81722,-95.84321
City Of Bemidji,Bemidji,MN,56601,47.47172,-94.88329
City Of Grand Rapids,Grand Rapids,MN,55744,47.23544,-93.52754
"George F Crosby Park - Crosby, MN",Crosby,MN,56441,46.481604,-93.948865
Hub 71 Food and Gas,Sebeka,MN,56477,46.629498,-95.096097
HY VEE EAGAN NORTH,Eagan,MN,55121,44.83481,-93.170574
HOLIDAY INN! HOLIDAY INN 02,Duluth,MN,55802,46.78517,-92.102083
MILL ST RAMP MILL ST RAMP 1,Wayzata,MN,55391,44.969752,-93.510644
THOMSON REUTERS THOMSON REUTERS,Eagan,MN,55123,44.82507,-93.112752
MINNEAPOLIS HAAF RAMP L2-1,Minneapolis,MN,55415,44.977309,-93.263051
3M 280 STATION #6,Maplewood,MN,55119,44.957062,-93.003069
3M 220 GUEST PARK,Maplewood,MN,55119,44.95075,-92.997275
MINNESOTA STATE LOT 11A - 1,Mankato,MN,56001,44.146623,-94.001755
CARLETON JAMES HALL WEST,Northfield,MN,55057,44.460293,-93.15224
ROSEDALE CENTER STATION 1,Roseville,MN,55113,45.013279,-93.17085
3M 280 STATION #1,Maplewood,MN,55144,44.95693,-93.003255
3M 280 STATION #3,Maplewood,MN,55144,44.956954,-93.00314
3M 280 STATION #5,Maplewood,MN,55144,44.957109,-93.002863
3M 236 STATION #5,Maplewood,MN,55119,44.954296,-92.987975
3M 236 STATION #2,Maplewood,MN,55119,44.954269,-92.987718
3M 236 STATION#1,Maplewood,MN,55119,44.954259,-92.98762
3M 236 STATION #4,Maplewood,MN,55119,44.954302,-92.987871
HY VEE SHAKOPEE SOUTH,Shakopee,MN,55379,44.778637,-93.538775
LANESBORO BASS POND 02,Lanesboro,MN,55949,43.720517,-91.979015
HY VEE RBNSDALE NORTH,Robbinsdale,MN,55422,45.019188,-93.327033
VIRGINIA PU VETS MEMORIAL,Virginia,MN,55792,47.524846,-92.535716
CITY OF ST PAUL RIVER CENTRE 3,Saint Paul,MN,55102,44.943175,-93.100266
CITY OF ST PAUL RIVER CENTRE 2,Saint Paul,MN,55102,44.943348,-93.1004
CITY OF ST PAUL RIVER CENTRE 1,Saint Paul,MN,55102,44.943343,-93.100341
3M 229 NORTHLOT #4,Maplewood,MN,55119,44.952747,-92.997113
MOOSE LAKE LEVEL 2,Moose Lake,MN,55767,46.45235,-92.76395
HY VEE MAPLE GROVE B,Maple Grove,MN,55311,45.08314,-93.517962
MINNEAPOLIS RAMP A L3-1,Minneapolis,MN,55402,44.978259,-93.277903
MINNEAPOLIS RAMP A L5-1,Minneapolis,MN,55402,44.978256,-93.277842
MINNEAPOLIS RAMP A L5-2,Minneapolis,MN,55402,44.978291,-93.277851
MINNEAPOLIS RAMP A L6-2,Minneapolis,MN,55402,44.978306,-93.277803
MINNEAPOLIS RAMP A L7-2,Minneapolis,MN,55402,44.978309,-93.277744
MINNEAPOLIS RAMP A L6-1,Minneapolis,MN,55402,44.978253,-93.277785
MINNEAPOLIS RAMP A L7-1,Minneapolis,MN,55402,44.97826,-93.277748
HY VEE RCHSTER 4 SOUTH,Rochester,MN,55901,44.065735,-92.525407
HY VEE NEW HOPE EAST,Minneapolis,MN,55428,45.034351,-93.383521
MINNEAPOLIS RAMP C L3-3,Minneapolis,MN,55401,44.982793,-93.273893
MINNEAPOLIS RAMP C L3-2,Minneapolis,MN,55401,44.982744,-93.273825
MINNEAPOLIS RAMP C L3-1,Minneapolis,MN,55401,44.982696,-93.273747
MINNEAPOLIS LEAMNGTN L2-2,Minneapolis,MN,55403,44.972088,-93.271907
MINNEAPOLIS LEAMNGTN L2-3,Minneapolis,MN,55403,44.97204,-93.272026
MINNEAPOLIS RAMP A L4-2,Minneapolis,MN,55402,44.978291,-93.277875
MINNEAPOLIS RAMP B L3-2,Minneapolis,MN,55403,44.980818,-93.276038
MINNEAPOLIS RAMP B L3-1,Minneapolis,MN,55403,44.980762,-93.275995
MINNEAPOLIS RAMP B L3-3,Minneapolis,MN,55403,44.980856,-93.276084
